Horde
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
RangedUnit,Ranged,100,15,8,3,65,15,150
InfantryUnit,Footman,100,15,10,1,85,20,135
CavalryUnit,Raider,100,20,12,2,70,25,145
